1|Apple Inc.|Company
2|Microsoft Corporation|Company
3|Nvidia Corporation|Company
4|Broadcom Inc.|Company
5|Taiwan Semiconductor Manufacturing Company Limited|Company
6|Samsung Electronics Co., Ltd.|Company
7|ASML Holding N.V.|Company
8|Oracle Corporation|Company
9|Adobe Inc.|Company
10|salesforce.com, inc.|Company
11|Advanced Micro Devices, Inc.|Company
12|Accenture plc|Company
13|Cisco Systems, Inc.|Company
14|Intel Corporation|Company
15|SAP SE|Company
16|Intuit Inc.|Company
17|Qualcomm Incorporated|Company
18|Texas Instruments Incorporated|Company
19|International Business Machines Corporation|Company
20|ServiceNow, Inc.|Company
21|Applied Materials, Inc.|Company
22|Uber Technologies, Inc.|Company
23|Sony Group Corporation|Company
24|SinoCloud Group Ltd|Company
25|Keyence Corp|Company
26|Lam Research Corporation|Company
27|Analog Devices, Inc.|Company
28|Shopify Inc.|Company
29|Micron Technology, Inc.|Company
30|Palo Alto Networks, Inc.|Company
31|Tokyo Electron Ltd|Company
32|Fiserv, Inc.|Company
33|SK hynix, Inc.|Company
34|KLA Corporation|Company
35|Infosys Limited|Company
36|Synopsys, Inc.|Company
37|Arista Networks, Inc.|Company
38|Workday, Inc.|Company
39|Cadence Design Systems, Inc.|Company
40|Dassault Systèmes SE|Company
41|VMware, Inc.|Company
42|Snowflake Inc.|Company
43|CrowdStrike Holdings, Inc.|Company
44|Amphenol Corporation|Company
45|Atlassian Corporation Plc|Company
46|NXP Semiconductors N.V.|Company
47|Dell Technologies Inc.|Company
48|Constellation Software Inc.|Company
49|Motorola Solutions, Inc.|Company
50|Marvell Technology Group Ltd.|Company
51|Infineon Technologies AG|Company
52|Marvell Technology, Inc.|Company
53|MediaTek, Inc.|Company
54|Autodesk, Inc.|Company
55|Xiaomi Corp|Company
56|Hon Hai Precision Industry Co. Ltd|Company
57|Microchip Technology Incorporated|Company
58|Fortinet, Inc.|Company
59|TE Connectivity Ltd.|Company
60|Block, Inc.|Company
61|STMicroelectronics N.V.|Company
62|Murata Manufacturing Co. Ltd|Company
63|Adyen N.V.|Company
64|Foxconn Industrial Internet Co. Ltd|Company
65|Coinbase Global, Inc.|Company
66|Cognizant Technology Solutions Corporation|Company
67|Datadog, Inc.|Company
68|Fidelity National Information Services, Inc.|Company
69|Palantir Technologies Inc.|Company
70|Capgemini SE|Company
71|ON Semiconductor Corporation|Company
72|The Trade Desk, Inc.|Company
73|Gartner, Inc.|Company
74|Hexagon AB|Company
75|GlobalFoundries Inc.|Company
76|Zscaler, Inc.|Company
77|Amadeus IT Group, SA|Company
78|Renesas Electronics Corp|Company
79|ANSYS, Inc.|Company
80|HP Inc.|Company
81|Semiconductor Manufacturing International Corp|Company
82|CDW Corporation|Company
83|Wipro Limited|Company
84|Fair Isaac Corporation|Company
85|Fujitsu Ltd|Company
86|Monolithic Power Systems, Inc.|Company
87|Quanta Computer, Inc.|Company
88|MongoDB, Inc.|Company
89|HubSpot, Inc.|Company
90|Keysight Technologies, Inc.|Company
91|Canon Inc.|Company
92|Corning Incorporated|Company
93|Delta Electronics, Inc.|Company
94|Cloudflare, Inc.|Company
95|Splunk Inc.|Company
96|Advantest Corp|Company
97|ASM International NV|Company
98|Fortive Corporation|Company
99|CGI Inc.|Company
100|Garmin Ltd.|Company
101|Panasonic Corp|Company
102|LONGi Green Energy Technology Co. Ltd|Company
103|Broadridge Financial Solutions, Inc.|Company
104|Lasertec Corp|Company
105|Hewlett Packard Enterprise Company|Company
106|Telefonaktiebolaget LM Ericsson|Company
107|Kyocera Corp|Company
108|United Microelectronics Corporation|Company
109|Teledyne Technologies Incorporated|Company
110|VeriSign, Inc.|Company
111|FLEETCOR Technologies, Inc.|Company
112|PTC Inc.|Company
113|NTT Data Corp|Company
114|Nokia Corporation|Company
115|Kaspi Bank Joint Stock Company|Company
116|TDK Corp|Company
117|First Solar, Inc.|Company
118|Check Point Software Technologies Ltd.|Company
119|NetApp, Inc.|Company
120|ASE Technology Holding Co., Ltd.|Company
121|Akamai Technologies, Inc.|Company
122|Beijing Kingsoft Office Software, Inc.|Company
123|Nomura Research Institute Ltd|Company
124|Tyler Technologies, Inc.|Company
125|Nuance Communications, Inc.|Company
126|Will Semiconductor Co. Ltd|Company
127|Seagate Technology plc|Company
128|Skyworks Solutions, Inc.|Company
129|WiseTech Global Limited|Company
130|EPAM Systems, Inc.|Company
131|Enphase Energy, Inc.|Company
132|Entegris, Inc.|Company
133|Jabil Inc.|Company
134|Western Digital Corporation|Company
135|Super Micro Computer, Inc.|Company
136|Lenovo Group Ltd|Company
137|NEC Corp|Company
138|Teradyne, Inc.|Company
139|ZTE Corp|Company
140|Shenzhen Transsion Holdings Co. Ltd|Company
141|The Sage Group plc|Company
142|Dynatrace, Inc.|Company
143|OBIC Co.,Ltd.|Company
144|Leidos Holdings, Inc.|Company
145|SS&C Technologies Holdings, Inc.|Company
146|Logitech International SA|Company
147|GoDaddy Inc.|Company
148|NortonLifeLock Inc.|Company
149|Unity Software Inc.|Company
150|Bentley Systems, Incorporated|Company
151|Okta, Inc.|Company
152|NICE Ltd.|Company
153|Aspen Technology, Inc.|Company
154|Affirm Holdings, Inc.|Company
155|Shanghai Baosight Software Co.,Ltd.|Company
156|Zebra Technologies Corporation|Company
157|Citrix Systems, Inc.|Company
158|AppLovin Corp|Company
159|LG Electronics, Inc.|Company
160|UiPath, Inc.|Company
161|Trimble Inc.|Company
162|Advanced Micro-Fabrication Equipment, Inc. China|Company
163|Manhattan Associates, Inc.|Company
164|Jack Henry & Associates, Inc.|Company
165|Pure Storage, Inc.|Company
166|BE Semiconductor Industries N.V.|Company
167|Hithink RoyalFlush Information Network Co. Ltd|Company
168|LARGAN Precision Co.,Ltd|Company
169|Paycom Software, Inc.|Company
170|ZoomInfo Technologies Inc.|Company
171|ASUSTeK Computer, Inc.|Company
